,Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
2347,Essendon,3,h,S,Rendina,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,2.0,225.0,98.0,911000.0
2348,Essendon,4,h,SP,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,2.0,1.0,288.0,210.0,900000.0
2349,Essendon,2,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,76.0,645000.0
2352,Essendon,2,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,168.0,77.0,702500.0
2353,Essendon,3,h,S,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,2.0,549.0,106.0,960000.0
2354,Essendon,4,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,2.0,1.0,291.0,183.0,1670000.0
2355,Essendon,3,h,VB,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,789.0,257.0,1100000.0
2356,Essendon,4,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,2.0,648.0,215.0,1800000.0
2357,Essendon,4,t,PI,Frank,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,3.0,2.0,374.0,267.0,1250000.0
2359,Essendon,2,h,SP,Barry,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,646.0,100.0,1130000.0
2360,Essendon,2,u,PI,Hodges,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,3.0,0.0,55.0,370000.0
2361,Essendon,3,h,S,Greg,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,2.0,188.0,171.0,1467000.0
2366,Essendon,5,h,PI,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,5.0,4.0,6.0,877.0,378.0,2800000.0
2370,Essendon,4,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,3.0,2.0,256.0,217.0,1160000.0
2372,Essendon,6,h,S,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,6.0,4.0,2.0,860.0,355.0,2620000.0
2373,Essendon,3,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,3.0,533.0,125.0,1226000.0
2375,Essendon,4,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,2.0,1.0,554.0,193.0,1402000.0
2379,Essendon,3,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,2.0,396.0,116.0,855000.0
2382,Essendon,4,h,S,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,2.0,2.0,503.0,160.0,1275000.0
2384,Essendon,4,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,3.0,1.0,475.0,272.0,1590000.0
2385,Essendon,2,u,S,McDonald,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,2.0,0.0,93.0,606000.0
2386,Essendon,3,h,S,McDonald,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,619.0,137.0,1385000.0
2387,Essendon,3,t,S,Barry,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,160.0,129.0,650000.0
2388,Essendon,2,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,72.0,460000.0
2389,Essendon,3,t,VB,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,291.0,224.0,1000000.0
2391,Essendon,2,u,VB,Barry,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,2.0,0.0,73.0,520000.0
2394,Essendon,3,t,S,Frank,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,2.0,190.0,142.0,720000.0
2396,Essendon,4,h,VB,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,1.0,2.0,638.0,227.0,1635000.0
2397,Essendon,2,u,SP,Pagan,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,73.0,485000.0
2403,Essendon,5,h,PI,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,5.0,3.0,2.0,700.0,454.0,1575000.0
2404,Essendon,1,u,SP,Pagan,Western Metropolitan,9264.0,8.0,Moonee Valley,1.0,1.0,1.0,0.0,49.0,280000.0
2405,Essendon,4,h,S,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,683.0,145.0,1467000.0
2408,Essendon,2,h,PI,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,649.0,108.0,890000.0
2409,Essendon,2,h,PI,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,2.0,319.0,120.0,870000.0
2412,Essendon,3,h,S,Barry,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,1.0,551.0,114.0,1134000.0
2414,Essendon,1,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,1.0,1.0,1.0,0.0,52.0,320500.0
2416,Essendon,2,h,VB,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,2.0,477.0,143.0,1065000.0
2418,Essendon,4,h,S,Hodges,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,2.0,2.0,601.0,250.0,1610000.0
2420,Essendon,2,h,S,Barry,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,2.0,225.0,107.0,930000.0
2422,Essendon,2,u,SP,Jellis,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,68.0,395000.0
2425,Essendon,3,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,1.0,687.0,120.0,1470000.0
2429,Essendon,3,t,VB,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,1.0,253.0,145.0,750000.0
2430,Essendon,2,u,VB,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,66.0,390000.0
2432,Essendon,4,u,SP,Barry,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,2.0,2.0,0.0,180.0,1170000.0
2433,Essendon,4,h,SP,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,3.0,1.0,519.0,218.0,1600000.0
2434,Essendon,4,h,SP,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,1.0,2.0,638.0,227.0,1535000.0
2436,Essendon,2,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,66.0,435000.0
2438,Essendon,3,h,S,Paul,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,605.0,138.0,1460000.0
2439,Essendon,2,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,106.0,736000.0
2441,Essendon,2,u,SP,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,65.0,450000.0
2442,Essendon,2,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,250.0,104.0,740000.0
2443,Essendon,2,u,SP,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,201.0,80.0,691000.0
2445,Essendon,4,h,S,McDonald,Western Metropolitan,9264.0,8.0,Moonee Valley,4.0,2.0,3.0,715.0,273.0,2355000.0
2449,Essendon,3,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,858.0,165.0,1625000.0
2450,Essendon,3,h,S,Paul,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,0.0,300.0,145.0,1150000.0
2453,Essendon,2,u,VB,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,68.0,360000.0
2454,Essendon,2,u,SP,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,170.0,88.0,645000.0
2455,Essendon,1,u,VB,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,1.0,1.0,1.0,0.0,125.0,250000.0
2458,Essendon,3,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,1.0,862.0,135.0,872000.0
2460,Essendon,2,u,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,83.0,630000.0
2461,Essendon,2,u,S,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,1011.0,77.0,440000.0
2462,Essendon,5,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,5.0,3.0,2.0,657.0,284.0,1811000.0
2463,Essendon,3,h,PI,Red,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,3.0,440.0,190.0,1500000.0
2466,Essendon,3,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,1.0,618.0,132.0,1290000.0
2468,Essendon,3,h,PI,Raine,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,2.0,0.0,700.0,1100000.0
2470,Essendon,4,h,PI,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,2.0,411.0,266.0,1270000.0
2471,Essendon,3,h,S,Nelson,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,2.0,1.0,400.0,168.0,1445000.0
2472,Essendon,4,h,S,Brad,Western Metropolitan,9264.0,8.0,Moonee Valley,3.0,1.0,2.0,533.0,127.0,1113000.0
2473,Essendon,2,u,VB,Barry,Western Metropolitan,9264.0,8.0,Moonee Valley,2.0,1.0,1.0,0.0,59.0,370000.0
2476,Essendon North,2,u,S,Barry,Western Metropolitan,1308.0,9.4,Moonee Valley,2.0,1.0,1.0,0.0,56.0,396000.0
2481,Essendon North,2,u,SP,Barry,Western Metropolitan,1308.0,9.4,Moonee Valley,2.0,1.0,1.0,88.0,59.0,450000.0
2482,Essendon North,5,h,S,Nelson,Western Metropolitan,1308.0,9.4,Moonee Valley,5.0,3.0,2.0,463.0,196.0,1360000.0
2483,Essendon North,2,u,SP,Nelson,Western Metropolitan,1308.0,9.4,Moonee Valley,2.0,1.0,1.0,0.0,65.0,340000.0
2484,Essendon North,3,u,S,Nelson,Western Metropolitan,1308.0,9.4,Moonee Valley,3.0,2.0,1.0,0.0,134.0,765000.0
2486,Essendon North,3,u,S,Nelson,Western Metropolitan,1308.0,9.4,Moonee Valley,3.0,2.0,2.0,189.0,104.0,712000.0
2488,Fairfield,3,h,VB,Jellis,Northern Metropolitan,2970.0,5.8,Darebin,3.0,2.0,0.0,327.0,144.0,1250000.0
2489,Fairfield,3,h,PI,McGrath,Northern Metropolitan,2970.0,5.8,Darebin,3.0,1.0,2.0,309.0,110.0,1350000.0
2492,Fairfield,2,h,S,Jellis,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,2.0,537.0,92.0,1220000.0
2493,Fairfield,4,h,PI,Nelson,Northern Metropolitan,2970.0,5.8,Darebin,4.0,2.0,1.0,381.0,145.0,1160000.0
2494,Fairfield,2,u,PI,Nelson,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,1.0,0.0,70.0,505000.0
2495,Fairfield,2,u,S,Jellis,Northern Metropolitan,2970.0,5.8,Yarra,2.0,1.0,1.0,0.0,77.0,602000.0
2496,Fairfield,3,t,SP,Love,Northern Metropolitan,2970.0,5.8,Darebin,3.0,1.0,1.0,185.0,107.0,846000.0
2497,Fairfield,2,u,VB,Nelson,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,1.0,0.0,68.0,400000.0
2499,Fairfield,2,u,S,Nelson,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,1.0,0.0,56.0,445000.0
2501,Fairfield,4,h,S,Jellis,Northern Metropolitan,2970.0,5.8,Darebin,4.0,2.0,2.0,490.0,226.0,1730000.0
2504,Fairfield,2,u,S,hockingstuart,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,1.0,1658.0,68.0,510000.0
2508,Fairfield,3,h,VB,Nelson,Northern Metropolitan,2970.0,5.8,Darebin,3.0,1.0,4.0,553.0,109.0,1350000.0
2509,Fairfield,4,h,VB,Nelson,Northern Metropolitan,2970.0,5.8,Darebin,4.0,3.0,2.0,575.0,280.0,2000000.0
2512,Fairfield,2,t,S,McGrath,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,1.0,140.0,2.0,805000.0
2513,Fairfield,3,h,S,Collins,Northern Metropolitan,2970.0,5.8,Darebin,3.0,1.0,2.0,382.0,140.0,1055000.0
2514,Fairfield,2,u,SP,Nelson,Northern Metropolitan,2970.0,5.8,Yarra,2.0,1.0,1.0,0.0,68.0,548000.0
2515,Fairfield,3,h,S,McGrath,Northern Metropolitan,2970.0,5.8,Darebin,3.0,1.0,1.0,0.0,126.0,1500000.0
2516,Fairfield,2,u,VB,Jellis,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,2.0,0.0,75.0,600000.0
2518,Fairfield,2,u,SP,McGrath,Northern Metropolitan,2970.0,5.8,Darebin,2.0,1.0,1.0,0.0,77.0,545000.0
2520,Fairfield,3,h,S,McGrath,Northern Metropolitan,2970.0,5.8,Darebin,3.0,1.0,1.0,496.0,122.0,1375000.0
2522,Fitzroy,3,h,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,3.0,2.0,2.0,0.0,137.0,1252000.0
2523,Fitzroy,2,u,S,Jellis,Northern Metropolitan,5825.0,1.6,Yarra,2.0,1.0,2.0,0.0,71.0,810000.0
2526,Fitzroy,1,h,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,1.0,1.0,0.0,87.0,66.0,947500.0
2527,Fitzroy,2,h,PI,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,2.0,1.0,0.0,0.0,105.0,1460000.0
2529,Fitzroy,2,t,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,2.0,2.0,2.0,0.0,105.0,880000.0
2530,Fitzroy,4,h,S,Caine,Northern Metropolitan,5825.0,1.6,Yarra,4.0,4.0,2.0,337.0,291.0,3310000.0
2533,Fitzroy,3,h,PI,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,3.0,1.0,1.0,113.0,105.0,1250000.0
2536,Fitzroy,4,h,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,4.0,1.0,0.0,177.0,152.0,1950000.0
2539,Fitzroy,1,u,SP,Jellis,Northern Metropolitan,5825.0,1.6,Yarra,1.0,1.0,1.0,0.0,52.0,465000.0
2540,Fitzroy,4,h,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,3.0,2.0,1.0,132.0,165.0,1620000.0
2542,Fitzroy,3,u,VB,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,3.0,2.0,1.0,2782.0,115.0,850000.0
2544,Fitzroy,2,h,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,2.0,1.0,0.0,106.0,101.0,1122000.0
2546,Fitzroy,2,h,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,2.0,1.0,1.0,157.0,110.0,1300000.0
2547,Fitzroy,1,u,S,Caine,Northern Metropolitan,5825.0,1.6,Yarra,1.0,1.0,1.0,782.0,42.0,420000.0
2548,Fitzroy,2,u,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,2.0,1.0,1.0,0.0,74.0,715000.0
2549,Fitzroy,1,u,S,hockingstuart,Northern Metropolitan,5825.0,1.6,Yarra,1.0,1.0,1.0,0.0,62.0,458000.0
2550,Fitzroy,2,h,VB,Harrington,Northern Metropolitan,5825.0,1.6,Yarra,2.0,2.0,1.0,64.0,138.0,800000.0
2551,Fitzroy,2,t,S,Jellis,Northern Metropolitan,5825.0,1.6,Yarra,2.0,1.0,1.0,0.0,90.0,710000.0
2552,Fitzroy,2,u,VB,hockingstuart,Northern Metropolitan,5825.0,1.6,Yarra,2.0,1.0,1.0,0.0,70.0,630000.0
2553,Fitzroy,4,h,S,Nelson,Northern Metropolitan,5825.0,1.6,Yarra,4.0,3.0,2.0,286.0,275.0,4011000.0
2555,Fitzroy North,2,u,SP,Woodards,Northern Metropolitan,6244.0,3.5,Yarra,2.0,2.0,1.0,4332.0,85.0,700000.0
2556,Fitzroy North,2,h,S,Woodards,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,0.0,104.0,70.0,860000.0
2557,Fitzroy North,2,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,0.0,107.0,64.0,870000.0
2559,Fitzroy North,4,h,VB,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,4.0,2.0,1.0,266.0,175.0,1450000.0
2560,Fitzroy North,2,t,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,3.0,0.0,2778.0,3558.0,930000.0
2563,Fitzroy North,1,u,SP,Jellis,Northern Metropolitan,6244.0,3.5,Yarra,1.0,1.0,1.0,0.0,40.0,358500.0
2565,Fitzroy North,2,h,SA,Nicholson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,2.0,1.0,134.0,151.0,770000.0
2566,Fitzroy North,2,h,S,LITTLE,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,1.0,150.0,77.0,1008000.0
2567,Fitzroy North,3,t,S,Collins,Northern Metropolitan,6244.0,3.5,Yarra,3.0,2.0,1.0,112.0,145.0,1015000.0
2568,Fitzroy North,3,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,1.0,197.0,128.0,1371000.0
2572,Fitzroy North,3,h,S,Holland,Northern Metropolitan,6244.0,3.5,Yarra,3.0,1.0,0.0,275.0,116.0,1286000.0
2575,Fitzroy North,3,t,VB,Jellis,Northern Metropolitan,6244.0,3.5,Yarra,3.0,3.0,1.0,188.0,129.0,1600000.0
2578,Fitzroy North,4,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,4.0,2.0,2.0,233.0,216.0,1950000.0
2579,Fitzroy North,4,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,3.0,2.0,1.0,445.0,175.0,3400000.0
2580,Fitzroy North,4,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,4.0,2.0,1.0,188.0,165.0,1785000.0
2582,Fitzroy North,2,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,1.0,223.0,118.0,1210000.0
2583,Fitzroy North,3,h,SP,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,3.0,2.0,1.0,104.0,110.0,1275000.0
2587,Fitzroy North,2,h,S,Chambers,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,0.0,136.0,92.0,1290000.0
2588,Fitzroy North,2,t,S,Woodards,Northern Metropolitan,6244.0,3.5,Yarra,2.0,2.0,2.0,0.0,95.0,750000.0
2590,Fitzroy North,2,u,SP,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,2.0,0.0,92.0,675000.0
2591,Fitzroy North,4,t,VB,Jellis,Northern Metropolitan,6244.0,3.5,Yarra,4.0,3.0,2.0,127.0,209.0,1700000.0
2593,Fitzroy North,3,t,S,Jellis,Northern Metropolitan,6244.0,3.5,Yarra,3.0,2.0,1.0,77.0,133.0,1080000.0
2595,Fitzroy North,2,h,S,Chambers,Northern Metropolitan,6244.0,3.5,Moreland,2.0,1.0,2.0,487.0,105.0,1222500.0
2600,Fitzroy North,2,h,S,Jellis,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,0.0,100.0,72.0,937500.0
2603,Fitzroy North,3,h,VB,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,3.0,1.0,1.0,203.0,110.0,1300000.0
2606,Fitzroy North,3,h,S,Collins,Northern Metropolitan,6244.0,3.5,Yarra,3.0,2.0,0.0,127.0,135.0,1300000.0
2608,Fitzroy North,3,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,3.0,2.0,0.0,202.0,307.0,2150000.0
2610,Fitzroy North,3,h,S,Jellis,Northern Metropolitan,6244.0,3.5,Yarra,3.0,1.0,0.0,193.0,132.0,1581000.0
2611,Fitzroy North,2,u,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,1.0,0.0,48.0,602000.0
2612,Fitzroy North,2,h,PI,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,2.0,1.0,1.0,0.0,75.0,650000.0
2614,Fitzroy North,3,h,S,Nelson,Northern Metropolitan,6244.0,3.5,Yarra,3.0,2.0,1.0,118.0,103.0,1450000.0
2617,Flemington,2,u,PI,Rendina,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,1.0,0.0,60.0,365000.0
2619,Flemington,2,u,SP,Hodges,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,1.0,0.0,63.0,425000.0
2622,Flemington,2,u,S,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,1.0,0.0,59.0,391000.0
2624,Flemington,3,h,S,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,3.0,1.0,0.0,294.0,140.0,1130000.0
2625,Flemington,3,h,PI,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,3.0,1.0,1.0,272.0,131.0,1110000.0
2627,Flemington,2,h,S,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,0.0,136.0,78.0,918000.0
2628,Flemington,2,h,SP,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,1.0,140.0,98.0,730000.0
2630,Flemington,2,h,SP,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,0.0,225.0,85.0,855000.0
2632,Flemington,3,h,S,Australian,Northern Metropolitan,3593.0,4.4,Moonee Valley,3.0,1.0,1.0,212.0,102.0,1012000.0
2634,Flemington,3,h,S,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,1.0,313.0,20.0,1315000.0
2637,Flemington,2,u,PI,Rendina,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,1.0,0.0,60.0,395000.0
2640,Flemington,2,u,S,Woodards,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,2.0,1.0,0.0,79.0,556000.0
2642,Flemington,1,u,SP,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,1.0,1.0,1.0,0.0,46.0,345000.0
2643,Flemington,3,h,VB,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,3.0,2.0,0.0,179.0,150.0,1100000.0
2647,Flemington,1,u,SP,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,1.0,1.0,1.0,818.0,50.0,395000.0
2649,Flemington,3,h,S,Nelson,Northern Metropolitan,3593.0,4.4,Moonee Valley,3.0,1.0,1.0,244.0,84.0,1115000.0
2650,Flemington,2,u,S,Jellis,Northern Metropolitan,3593.0,4.4,Moonee Valley,2.0,1.0,1.0,0.0,52.0,420500.0
2653,Footscray,4,h,SP,Nelson,Western Metropolitan,7570.0,6.4,Maribyrnong,4.0,2.0,1.0,319.0,130.0,1225000.0
2655,Footscray,3,h,S,Naison,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,1.0,292.0,98.0,1003000.0
2656,Footscray,3,h,S,Sweeney,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,0.0,164.0,93.0,840000.0
2657,Footscray,3,h,S,Village,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,2.0,0.0,497.0,156.0,1362000.0
2658,Footscray,4,h,S,Village,Western Metropolitan,7570.0,6.4,Maribyrnong,4.0,2.0,1.0,154.0,161.0,977000.0
2659,Footscray,1,u,S,Sweeney,Western Metropolitan,7570.0,6.4,Maribyrnong,1.0,1.0,1.0,0.0,50.0,216000.0
2660,Footscray,3,h,S,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,2.0,2.0,204.0,106.0,876000.0
2661,Footscray,1,u,S,Sweeney,Western Metropolitan,7570.0,6.4,Maribyrnong,1.0,1.0,1.0,0.0,52.0,227000.0
2662,Footscray,4,t,S,Jellis,Western Metropolitan,7570.0,6.4,Maribyrnong,4.0,2.0,2.0,250.0,160.0,841000.0
2663,Footscray,2,u,SP,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,3.0,2794.0,87.0,605000.0
2664,Footscray,2,u,PI,Burnham,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,47.0,35.0,305000.0
2665,Footscray,2,t,PI,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,556.0,75.0,480000.0
2667,Footscray,3,h,S,Village,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,1.0,361.0,118.0,910000.0
2668,Footscray,1,u,PI,Sweeney,Western Metropolitan,7570.0,6.4,Maribyrnong,1.0,1.0,1.0,665.0,46.0,291000.0
2670,Footscray,2,h,SP,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,0.0,215.0,98.0,752000.0
2671,Footscray,3,h,S,Burnham,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,3.0,585.0,120.0,1155000.0
2674,Footscray,3,h,S,Village,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,1.0,0.0,141.0,853000.0
2676,Footscray,3,u,S,Nelson,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,1.0,0.0,90.0,480000.0
2677,Footscray,4,h,S,Sweeney,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,2.0,277.0,87.0,775000.0
2679,Footscray,2,u,S,Sweeney,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,0.0,65.0,281000.0
2680,Footscray,4,h,S,hockingstuart,Western Metropolitan,7570.0,6.4,Maribyrnong,4.0,2.0,3.0,0.0,190.0,1300000.0
2681,Footscray,3,t,S,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,2.0,2.0,164.0,3.0,714000.0
2683,Footscray,2,h,PI,Burnham,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,2.0,657.0,92.0,950000.0
2685,Footscray,3,h,S,Biggin,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,1.0,265.0,115.0,760000.0
2686,Footscray,2,u,VB,Village,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,0.0,75.0,420000.0
2690,Footscray,3,h,S,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,451.0,130.0,932000.0
2691,Footscray,3,h,S,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,2.0,323.0,129.0,780000.0
2692,Footscray,2,u,SP,Gunn&Co,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,0.0,69.0,295000.0
2693,Footscray,2,u,SP,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,0.0,66.0,433000.0
2694,Footscray,2,t,SP,Rendina,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,2.0,1.0,65.0,80.0,410000.0
2695,Footscray,2,h,S,Sweeney,Western Metropolitan,7570.0,6.4,Maribyrnong,2.0,1.0,1.0,184.0,103.0,1170000.0
2696,Footscray,1,u,S,Biggin,Western Metropolitan,7570.0,6.4,Maribyrnong,1.0,1.0,1.0,0.0,50.0,375000.0
2698,Footscray,3,h,S,Jas,Western Metropolitan,7570.0,6.4,Maribyrnong,3.0,1.0,1.0,246.0,120.0,747000.0
